Name,agency,description,link,Filters
Community Silver Trust,AIC,The Community Silver Trust (CST) is a dollar-for-dollar donation matching grant provided by the Government to enhance the services of social service organisations in the ILTC sector.,https://partners.aic.sg/funding-support/cst,"Organisation,Services & programs,Elderly,All social causes,Health,AIC"
Healthcare Productivity Fund – Technology Adoption,AIC,The HPF – Technology Adoption Scheme supports community care partners that are keen to adopt technology that will reduce the amount of time and effort required to perform manpower-intensive care processes. ,https://partners.aic.sg/funding-support/overview/hpftechadoption,"Organisation,Capital funding,Services & programs,Capability building,AIC,Health,All social causes"
Initiating QI Projects,AIC,The Quality Improvement (QI) movement is committed to continuous learning and improvement of better quality of care.,https://partners.aic.sg/productivity-quality/qi-projects,"Organisation,Capability building,Services & programs,Pilot projects,Health,AIC"
Senior Management Associate Scheme,AIC,The Senior Management Associate Scheme (SMAS) programme provide funding support in recruiting local leadership talents to support Community Care organisations' growth and development.,https://partners.aic.sg/manpower-development/employment-facilitation-initiatives/smas,"Organisation,Health,AIC"
Community Care Training Grant,AIC,"CCTG supports the fees of training courses, workshops and conferences. Corporate and support staff may also be funded under this grant to upgrade themselves in areas relevant to their work.",https://partners.aic.sg/manpower-development/training-development/cctg,"Organisation,Capability building,Health,AIC"
Community Care Research Grant,AIC,"The Community Care Research Grant (CCRG), previously known as the Intermediate and Long-Term Care (ILTC) Research Grant (2016-2018), provides support for research ideas from the Community Care sector to generate new knowledge and transform care.",https://partners.aic.sg/funding-support/overview/community-care-research-grant,"Organisation,Research projects,Health,AIC"
Community Care Traineeship Programme (CCTP),AIC,The Community Care Traineeship Programme (CCTP) provides funding support to Community Care providers for new local support care staffs without prior experience to undergo training and be equipped with the requisite skills to perform their new jobs.,https://partners.aic.sg/manpower-development/employment-facilitation-initiatives/cctp,"Organisation,Capability building,Health,AIC"
Return To Nursing,AIC,"The Return-To-Nursing (RTN) programme helps nurses who have not been practising for more than a year to return to work in the Community Care sector. ​​​If your organisation is hiring a returning nurse, you can make the necessary arrangements for him/her to attend a 3-month refresher course before they return to their workplace. ",https://partners.aic.sg/manpower-development/employment-facilitation-initiatives/rtn,"Organisation,Capability building,Health,AIC"
Accessibility Fund,BCA,"To promote an accessible built environment, BCA has launched Accessibility Fund that provides grants to building owners for upgrading their existing buildings with essential accessibility features. The Accessibility Fund is only for private buildings built before the implementation of Code on Barrier- Free Accessibility in Buildings-1990. ",https://friendlybuildings.bca.gov.sg/industry-professional-af-about-accessibility-fund.html,"Organisation,Capital funding,All social causes,Disability,Family,BCA"
Silver Volunteer Fund (SVF),C3A,The Silver Volunteer Fund (SVF) supports Volunteer Host Organisations (VHOs) that offer programmes with volunteer opportunities to seniors,https://www.ncss.gov.sg/Grants-Search/Silver-Volunteer-Fund-(SVF),"Organisation,Capability building,Services & programs,All social causes,Elderly,C3A"
ECDA Support Schemes for Non Anchor Operators,MSF,"The Support Schemes were introduced in 2013 to support operators to provide good quality and affordable preschool services. These operators complement Anchor Operators and Partner Operators to provide a range of preschool types to meet the overall demand for such services in Singapore, and cater to parents and children with varying needs and preferences.",https://www.ecda.gov.sg/Operators/Pages/Support-Schemes.aspx,"Organisation,Services & programs,MSF,Education,Capability building,Capital funding"
Home Access Programme,IMDA,The Home Access programme aims to make internet connectivity more accessible and affordable to the low-income group.,https://www.imda.gov.sg/community/consumer-education/digital-inclusion/home-access,"Individual,All social causes,Family,IMDA"
Our Singapore Fund for Digital Readiness,IMDA,"Our Singapore Fund for Digital Readiness aims to empower more passionate Singaporeans to play a part in spearheading community projects to prepare fellow Singaporeans to seize the benefits of the digital future, to further strengthen Digital Readiness in the community.",https://www.imda.gov.sg/programme-listing/our-singapore-fund-for-digital-readiness,"Individual,Organisation,Services & programs,Pilot projects,All social causes,Children & Youth,Community,Disability,Education,Elderly,Family,Health,IMDA"
Harmony Fund,MCCY,The Harmony Fund will support creative projects that promote racial and religious harmony in Singapore.,https://www.mccy.gov.sg/harmonyfund,"Organisation,Capability building,Capital funding,Services & programs,Pilot projects,Community,Education,MCCY"
